title,director,year,originalTitle
Le tigre aime la chair fraîche,Claude Chabrol,1964,Code Name: Tiger
La Ligne de démarcation,Claude Chabrol,1966,Line of Demarcation
L'Enfer,Claude Chabrol,1994,Torment
Rien ne va plus,Claude Chabrol,1997,The Swindle
La Fleur du mal,Claude Chabrol,2002,The Flower of Evil
L'Affaire Lafarge,Pierre Chenal,1938,The Lafarge Case
Le Dernier tournant,Pierre Chenal,1939,The Last Turning
Jeux des reflets et de la vitesse,Henri Chomette,1925,Games on Reflection and Speed
Les Disparus de Saint-Agil,Christian-Jaque,1938,Boys' School
Un revenant,Christian-Jaque,1946,A Lover's Return
Fanfan la Tulipe,Christian-Jaque,1951,
Paris qui dort,René Clair,1923,The Crazy Ray
Entr'acte,René Clair,1924,
Le Fantôme du Moulin-Rouge,René Clair,1925,The Phantom of the Moulin-Rouge
Un chapeau de paille d'Italie,René Clair,1927,The Italian Straw Hat
La Tour,René Clair,1928,
Les Deux Timides,René Clair,1928,Two Timid Souls
Sous les toits de Paris,René Clair,1930,Under the Roofs of Paris
À nous la liberté,René Clair,1931,Freedom for Us
Le Million,René Clair,1931,The Million
Quatorze juillet,René Clair,1933,Bastille Day
Le Dernier Milliardaire,René Clair,1934,The Last Billionaire
Les Belles de nuit,René Clair,1952,Beauties of the Night
Les Grandes Manœuvres,René Clair,1955,The Grand Maneuver
La Bataille du rail,René Clément,1946,Battle of the Rails
Le Père tranquille,René Clément,1946,Mr. Orchid
Les Maudits,René Clément,1947,The Damned
Jeux interdits,René Clément,1952,Forbidden Games
Gervaise,René Clément,1956,
Monsieur Vincent,Maurice Cloche,1947,
L'assassin habite...au 21 ,Henri-Georges Clouzot,1942,The Murderer Lives at Number 21
Le Corbeau,Henri-Georges Clouzot,1943,The Raven
Quai des Orfèvres,Henri-Georges Clouzot,1947,Jenny Lamour
Manon,Henri-Georges Clouzot,1949,
Les Diaboliques,Henri-Georges Clouzot,1955,Diabolique
Le Mystère Picasso,Henri-Georges Clouzot,1956,The Mystery of Picasso
Le Sang d'un poète,Jean Cocteau,1930,The Blood of a Poet
La Belle et la Bête,Jean Cocteau,1946,Beauty and the Beast
Les Parents terribles,Jean Cocteau,1948,The Storm Within
Orphée,Jean Cocteau,1950,Orpheus
La Villa Santo-Sospir,Jean Cocteau,1952,
Le Testament d'Orphée,Jean Cocteau,1960,Testament of Orpheus
Mademoiselle de la Ferté,Roger Dallier,1949,
The Mark of the Day,Louis Daquin,1949,
Rumors,Jacques Daroy,1947,
Rififi,Jules Dassin,1955,
Island Fishermen,Jacques de Baroncelli,1924,
Wicked Duchess,Jacques de Baroncelli,1942,
There's Always a Price Tag,Denys de La Patellière,1958,
Claudine à l'école,Serge de Poligny,1937,
Le Baron fantôme,Serge de Poligny,1943,
Les Fiancee des tenebres,Serge de Poligny,1945,
She Returned at Dawn,Henri Decoin,1938,
Battement de coeur,Henri Decoin,1940,
Strangers in the House,Henri Decoin,1942,
Between Eleven and Midnight,Henri Decoin,1949,
The Truth About Bebe Donge,Henri Decoin,1952,
The Eternal Return,Jean Delannoy,1943,
La Symphonie Pastorale,Jean Delannoy,1946,
Les Jeux sont faits,Jean Delannoy,1947,
Le Garçon sauvage,Jean Delannoy,1951,
Fièvre,Louis Delluc,1921,
La Femme de nulle part,Louis Delluc,1922,
Le Sabotier du Val de Loire,Jacques Demy,1956,
The March of the Machines,Eugene Deslaw,1927,
La Dame d'onze heures,Jean Devaivre,1948,
The Farm of Seven Sins,Jean Devaivre,1949,
Le President Haudecoeur,Jean Dréville,1940,
A Cage of Nightingales,Jean Dréville,1945,
Copie conforme,Jean Dréville,1947,
Girl with the Whip,Jean Dréville,1952,
Præsidenten,Carl Th. Dreyer,1919,The President
Blade af Satans bog,Carl Th. Dreyer,1920,Leaves from Satan's Book
Prästänkan,Carl Th. Dreyer,1920,The Parson's Widow
Die Gezeichneten,Carl Th. Dreyer,1922,Love One Another
Mikaël,Carl Th. Dreyer,1924,Michael
Du skal ære din hustru,Carl Th. Dreyer,1925,Master of the House
Glomdalsbruden,Carl Th. Dreyer,1926,The Bride of Glomdal
La Passion de Jeanne d'Arc,Carl Th. Dreyer,1928,The Passion of Joan of Arc
Vampyr – Der Traum des Allan Grey,Carl Th. Dreyer,1932,
Vredens dag,Carl Th. Dreyer,1943,Day of Wrath
Två människor,Carl Th. Dreyer,1945,Two People
De nåede færgen,Carl Th. Dreyer,1948,They Caught the Ferry
Ordet,Carl Th. Dreyer,1955,The Word
Gertrud,Carl Th. Dreyer,1964,
Anémic cinéma,Marcel Duchamp,1926,
Paris express,Marcel/Jacques Prévert/Pierre Prévert Duhamel,1928,
Spanish Fiesta,Germaine Dulac,1920,
The Smiling Madame Beudet,Germaine Dulac,1923,
The Seashell and the Clergyman,Germaine Dulac,1928,
Arabesque,Germaine Dulac,1929,
Poil de Carotte,Julien Duvivier,1925,The Red Head
Au bonheur des dames,Julien Duvivier,1930,The Ladies' Paradise
David Golder,Julien Duvivier,1931,
Poil de Carotte,Julien Duvivier,1932,The Red Head
La Tête d'un homme,Julien Duvivier,1933,A Man's Neck
Le Paquebot Tenacity,Julien Duvivier,1934,S.S. Tenacity
La Belle Équipe,Julien Duvivier,1936,They Were Five
Un carnet de bal,Julien Duvivier,1937,Dance Program
Pépé le Moko,Julien Duvivier,1937,
The Great Waltz,Julien Duvivier,1938,
La Fin du jour,Julien Duvivier,1939,The End of the Day
Tales of Manhattan,Julien Duvivier,1942,
Panique,Julien Duvivier,1946,
Au royaume des cieux,Julien Duvivier,1949,The Sinners
Le Petit Monde de Don Camillo,Julien Duvivier,1951,The Little World of Don Camillo
La Fête à Henriette,Julien Duvivier,1952,Holiday for Henrietta
Marianne de ma jeunesse,Julien Duvivier,1955,Marianne of My Youth
Voici le temps des assassins,Julien Duvivier,1956,Deadlier Than the Male
Marie-Octobre,Julien Duvivier,1959,
L' Auberge rouge,Jean Epstein,1923,
Coeur fidèle,Jean Epstein,1923,
La Glace a trois faces,Jean Epstein,1927,
The Fall of the House of Usher,Jean Epstein,1928,
Finis terrae,Jean Epstein,1929,
The Sea of Ravens,Jean Epstein,1931,
L' Or des mers,Jean Epstein,1932,
Chanson d'Armor,Jean Epstein,1934,
Le Tempestaire,Jean Epstein,1947,
Mauvaise graine,Alexander & Billy Wilder Esway,1934,
légende hongroise Marie,Pál Fejös,1932,
Monte Cristo,Henri Fescourt,1929,
Le Grand jeu,Jacques Feyder,1934,
Carnival in Flanders,Jacques Feyder,1935,
Pension Mimosas,Jacques Feyder,1935,
Le Sang des bêtes,Georges Franju,1949,
Hôtel des Invalides,Georges Franju,1952,
Head Against the Wall,Georges Franju,1959,
La Roue,Abel Gance,1923,
Napoléon,Abel Gance,1927,
End of the World,Abel Gance,1931,
The Queen and the Cardinal,Abel Gance,1935,
The Life and Loves of Beethoven,Abel Gance,1936,
J'accuse!,Abel Gance,1937,
Paradis perdus,Abel Gance,1940,
Blind Venus,Abel Gance,1941,
Un Chant d'amour,Jean Genet,1950,
Prix de beauté,Augusto Genina,1930,
Charlotte et Son Jules,Jean-Luc Godard,1959,
Blood to the Head,Gilles Grangier,1956,
Maldone,Jean Grémillon,1928,Misdeal
Gardiens de phare,Jean Grémillon,1929,The Lighthouse Keepers
La Petite Lise,Jean Grémillon,1930,Little Lise
Daïnah la métisse,Jean Grémillon,1932,
Gueule d'amour,Jean Grémillon,1937,Lady Killer
L'Étrange Monsieur Victor,Jean Grémillon,1938,The Strange Monsieur Victor
Remorques,Jean Grémillon,1941,Stormy Waters
Lumière d'été,Jean Grémillon,1943,Summer Light
Le ciel est à vous,Jean Grémillon,1944,The Woman Who Dared
Le 6 juin a l'aube,Jean Grémillon,1946,June 6th at Dawn
Pattes blanches,Jean Grémillon,1949,White Shanks
L'Amour d'une femme,Jean Grémillon,1953,The Love of a Woman
Whirlpool,Edmond T. Gréville,1935,
Passionnelle,Edmond T. Gréville,1947,
The Curious Adventures of Mr. Wonderbird,Paul Grimault,1952,
La Joie de vivre,Anthony & Hector Hoppin Gross,1934,
Monsieur Tête,Henri & Jan Lenica Gruel,1959,
Ménilmontant,René Guissart,1936,
Mon père avait raison,Sacha Guitry,1936,
The Story of a Cheat,Sacha Guitry,1936,
Désiré,Sacha Guitry,1937,
Faisons un rêve,Sacha Guitry,1937,
Le Mot de Cambronne,Sacha Guitry,1937,
The Pearls of the Crown,Sacha Guitry,1937,
Quadrille,Sacha Guitry,1938,
Ils étaient neuf célibataires,Sacha Guitry,1939,
Donne-mois tes yeux,Sacha Guitry,1943,
La Malibran,Sacha Guitry,1944,
Le Comedien,Sacha Guitry,1948,
The Lame Devil,Sacha Guitry,1948,
La Poison,Sacha Guitry,1951,
La Vie d'un honnête homme,Sacha Guitry,1953,
Les 3 font la paire,Sacha Guitry,1957,
Assassins et voleurs,Sacha Guitry,1957,
Bonne chance,Sacha & Fernand Rivers Guitry,1935,
Une Simple histoire,Marcel Hanoun,1958,
Venom and Eternity,Isidore Isou,1951,
The Seine Meets Paris,Joris Ivens,1957,
Le Bel Âge,Pierre Kast,1959,
Ménilmontant,Dimitri Kirsanoff,1926,
Brumes d'automne,Dimitri Kirsanoff,1929,
Les Berceaux,Dimitri Kirsanoff,1935,
Marius,Alexander Korda,1931,
La Zone,Georges Lacombe,1928,
Café de Paris,Georges & Yves Mirande Lacombe,1938,
Derriere la facade,Georges & Yves Mirande Lacombe,1939,
White Mane,Albert Lamorisse,1953,
The Red Balloon,Albert Lamorisse,1956,
Le Anciens de Saint-Loup,Georges Lampin,1950,
Liliom,Fritz Lang,1934,
The Last Vacation,Roger Leenhardt,1948,
Ballet mécanique,Fernand Léger,1924,
Fric-Frac,Maurice Lehmann,1939,
L' Homme du large,Marcel L'Herbier,1920,
L' Inhumaine,Marcel L'Herbier,1924,
The Living Dead Man,Marcel L'Herbier,1926,
L' Argent,Marcel L'Herbier,1928,
The Mystery of the Yellow Room,Marcel L'Herbier,1930,
La Nuit fantastique,Marcel L'Herbier,1942,
Cour de lilas,Anatole Litvak,1932,
L' Equipage,Anatole Litvak,1935,
Mayerling,Anatole Litvak,1936,
Elevator to the Gallows,Louis Malle,1958,
The Lovers,Louis Malle,1958,
Dimanche à Pekin,Chris Marker,1956,
Letter from Siberia,Chris Marker,1957,
Le Silence de la mer,Jean-Pierre Melville,1949,
Les Enfants terribles,Jean-Pierre Melville,1950,
Bob le flambeur,Jean-Pierre Melville,1955,
Two Men in Manhattan,Jean-Pierre Melville,1959,
Il est charmant,Louis Mercanton,1932,
Baccara,Yves Mirande,1935,
Pacific 231,Jean Mitry,1949,
Images pour Debussy,Jean Mitry,1951,
Le Mioche,Léonide Moguy,1936,
Prison sans barreaux,Léonide Moguy,1938,
The Puritan,Jeff Musso,1938,
Valse brillante de Chopin,Max Ophüls,1936,
Le Roman de Werther,Max Ophüls,1938,
Sans Lendemain,Max Ophüls,1939,
Sarajevo,Max Ophüls,1940,
La Ronde,Max Ophüls,1950,
Le Plaisir,Max Ophüls,1952,
Amok,Fyodor Otsep,1934,
A Man Walks in the City,Marcello Pagliero,1950,
Jofroi,Marcel Pagnol,1933,
Angèle,Marcel Pagnol,1934,
Merlusse,Marcel Pagnol,1935,
César,Marcel Pagnol,1936,
Regain,Marcel Pagnol,1937,
The Baker's Wife,Marcel Pagnol,1938,
Le Schpountz,Marcel Pagnol,1938,
The Well-Digger's Daughter,Marcel Pagnol,1940,
Manon des sources,Marcel Pagnol,1953,
The Seahorse,Jean Painlevé,1934,
Voyage to the Sky,Jean Painlevé,1937,
Le Vampire,Jean Painlevé,1945,
Jocelyn,Léon Poirier,1922,
The Yellow Cruise,Léon & André Sauvage Poirier,1934,
Pourvu qu'on ait l'ivresse,Jean-Daniel Pollet,1958,
Fanfare of Love,Richard Pottier,1935,
Travail,Henri Pouctal,1920,
It's in the Bag,Pierre Prévert,1932,
Voyage Surprise,Pierre Prévert,1946,
Le Retour a la raison,Man Ray,1923,
Emak-Bakia,Man Ray,1926,
L' Etoile de mer,Man Ray,1928,
The Mysteries of the Chateau de De,Man Ray,1929,
Bitter Victory,Nicholas Ray,1957,
La fille de l'eau,Jean Renoir,1925,Whirlpool of Fate
Nana,Jean Renoir,1926,
Sur un air de charleston,Jean Renoir,1927,Charleston Parade
La Petite Marchande d'allumettes,Jean Renoir,1928,The Little Match Girl
Tire-au-flanc,Jean Renoir,1928,The Sad Sack
La Chienne,Jean Renoir,1931,
Boudu sauvé des eaux,Jean Renoir,1932,Boudu Saved from Drowning
La Nuit du carrefour,Jean Renoir,1932,Night at the Crossroads
Chotard et cie,Jean Renoir,1933,Chotard and Company
Madame Bovary,Jean Renoir,1934,
Toni,Jean Renoir,1935,
Le Crime de Monsieur Lange,Jean Renoir,1936,The Crime of Monsieur Lange
Les Bas-fonds,Jean Renoir,1936,The Lower Depths
Partie de campagne,Jean Renoir,1936,A Day in the Country
La Grande Illusion,Jean Renoir,1937,Grand Illusion
La Bête humaine,Jean Renoir,1938,
La Marseillaise,Jean Renoir,1938,
La Règle du jeu,Jean Renoir,1939,The Rules of the Game
French Cancan,Jean Renoir,1955,
Elena et les hommes,Jean Renoir,1956,Elena and Her Men
Le Déjeuner sur l'herbe,Jean Renoir,1959,Picnic on the Grass
Le Testament du docteur Cordelier,Jean Renoir,1959,
Night and Fog,Alain Resnais,1955,
Toute la mémoire du monde,Alain Resnais,1956,
Le Chant du Styrène,Alain Resnais,1958,
Statues Also Die,Alain & Chris Marker Resnais,1953,
Guernica,Alain & Robert Hessens Resnais,1950,
L' Habit vert,Roger Richebé,1937,
Street Singer,Fernand Rivers,1938,
The Sign of Leo,Eric Rohmer,1959,
Les Maîtres fous,Jean Rouch,1955,
un Noir Moi,Jean Rouch,1958,
Le Tonnelier,Georges Rouquier,1942,
Farrebique,Georges Rouquier,1946,
Lourdes and Its Miracles,Georges Rouquier,1955,
Rentrée des classes,Jacques Rozier,1956,
Études sur Paris,André Sauvage,1928,
Mollenard,Robert Siodmak,1938,
The Mascot,Ladislaw Starewicz,1933,
The Story of the Fox,Ladislaw & Irene Starewicz Starewicz,1937,
L' École des facteurs,Jacques Tati,1947,
Jour de Féte,Jacques Tati,1948,
Mr. Hulot's Holiday,Jacques Tati,1953,
Mon oncle,Jacques Tati,1958,
Les Rendez-vous du diable,Haroun Tazieff,1959,
L' Ordannance,Viktor Tourjansky,1921,
Au nom de la loi,Maurice Tourneur,1931,
Justin de Marseille,Maurice Tourneur,1935,
Avec le sourire,Maurice Tourneur,1936,
Katia,Maurice Tourneur,1938,
Volpone,Maurice Tourneur,1941,
La Main du diable,Maurice Tourneur,1943,
Cecile is Dead,Maurice Tourneur,1944,
Song of the Streets,Victor Trivas,1933,
Les Mistons,François Truffaut,1957,
The 400 Blows,François Truffaut,1959,
And God Created Woman,Roger Vadim,1956,
Les Liaisons dangereuses,Roger Vadim,1959,
Escale,Louis Valray,1935,
Dans la nuit,Charles Vanel,1930,
La Pointe Courte,Agnès Varda,1955,
Diary of a Pregnant Woman,Agnès Varda,1958,
La Vie est a nous,Various Directors Various Directors,1936,
Afrique 50,René Vautier,1951,
Paris 1900,Nicole Védrès,1947,
La Vie commence demain,Nicole Védrès,1949,
People of No Importance,Henri Verneuil,1956,
À propos de Nice,Jean Vigo,1930,
Taris,Jean Vigo,1931,
Zéro de conduite,Jean Vigo,1933,Zero for Conduct
L'Atalante,Jean Vigo,1934,
Kean,Alexandre Volkoff,1924,
Mant!,Lawrence Woolsey,1962,
Mr. & Mrs. Smith,Alfred Hitchcock,1941,
Forever,Heddy Honigmann,2006,
"Les choses qu'on dit, les choses qu'on fait",Emmanuel Mouret,2020,"The Things We Say, the Things We Do"
Dorian Gray im Spiegel der Boulevardpresse,Ulrike Ottinger,1984,Dorian Gray in the Mirror of the Yellow Press
Undine,Christian Petzold,2020,
Hemel,Sacha Polak,2012,
Kommunikation — Technik der Verständigung,Edgar Reitz,1961,Technology of Communication
Hit the Deck,Roy Rowland,1955,
The Baxter,Michael Showalter,2005,
Grand Display of Brock's Fireworks at the Crystal Palace,George Albert Smith,1904,
